,team_name,tournament_name,minute_label,minute_regulation,minute_stoppage,Event
1592,Tunisia,2006 FIFA World Cup,40',40,0,2
1593,Tunisia,2006 FIFA World Cup,70',70,0,2
1594,Tunisia,2006 FIFA World Cup,81',81,0,2
1595,Tunisia,2006 FIFA World Cup,85',85,0,2
1596,Spain,2006 FIFA World Cup,89',89,0,2
1597,Tunisia,2006 FIFA World Cup,90'+3',90,3,2
1598,Costa Rica,2006 FIFA World Cup,17',17,0,2
1599,Poland,2006 FIFA World Cup,18',18,0,2
1600,Poland,2006 FIFA World Cup,24',24,0,2
1601,Poland,2006 FIFA World Cup,29',29,0,2
1602,Costa Rica,2006 FIFA World Cup,45'+2',45,2,2
1603,Costa Rica,2006 FIFA World Cup,45'+2',45,2,2
1604,Costa Rica,2006 FIFA World Cup,56',56,0,2
1605,Poland,2006 FIFA World Cup,60',60,0,2
1606,Costa Rica,2006 FIFA World Cup,76',76,0,2
1607,Poland,2006 FIFA World Cup,90'+1',90,1,2
1608,Ecuador,2006 FIFA World Cup,52',52,0,2
1609,Germany,2006 FIFA World Cup,75',75,0,2
1610,Paraguay,2006 FIFA World Cup,30',30,0,2
1611,Trinidad and Tobago,2006 FIFA World Cup,45',45,0,2
1612,Trinidad and Tobago,2006 FIFA World Cup,48',48,0,2
1613,Paraguay,2006 FIFA World Cup,54',54,0,2
1614,England,2006 FIFA World Cup,76',76,0,2
1615,Sweden,2006 FIFA World Cup,83',83,0,2
1616,Sweden,2006 FIFA World Cup,87',87,0,2
1617,Angola,2006 FIFA World Cup,22',22,0,2
1618,Iran,2006 FIFA World Cup,37',37,0,2
1619,Angola,2006 FIFA World Cup,45'+1',45,1,2
1620,Iran,2006 FIFA World Cup,55',55,0,2
1621,Angola,2006 FIFA World Cup,67',67,0,2
1622,Iran,2006 FIFA World Cup,90'+1',90,1,2
1623,Mexico,2006 FIFA World Cup,22',22,0,2
1624,Portugal,2006 FIFA World Cup,26',26,0,2
1625,Mexico,2006 FIFA World Cup,27',27,0,2
1626,Mexico,2006 FIFA World Cup,61',61,0,1
1627,Mexico,2006 FIFA World Cup,65',65,0,2
1628,Portugal,2006 FIFA World Cup,69',69,0,2
1629,Mexico,2006 FIFA World Cup,87',87,0,2
1630,Portugal,2006 FIFA World Cup,88',88,0,2
1631,Portugal,2006 FIFA World Cup,90'+1',90,1,2
1632,Serbia and Montenegro,2006 FIFA World Cup,17',17,0,2
1633,Ivory Coast,2006 FIFA World Cup,33',33,0,2
1634,Serbia and Montenegro,2006 FIFA World Cup,35',35,0,2
1635,Serbia and Montenegro,2006 FIFA World Cup,37',37,0,2
1636,Ivory Coast,2006 FIFA World Cup,41',41,0,2
1637,Ivory Coast,2006 FIFA World Cup,43',43,0,2
1638,Serbia and Montenegro,2006 FIFA World Cup,45'+1',45,1,1
1639,Serbia and Montenegro,2006 FIFA World Cup,57',57,0,2
1640,Ivory Coast,2006 FIFA World Cup,90'+2',90,2,1
1641,Netherlands,2006 FIFA World Cup,28',28,0,2
1642,Netherlands,2006 FIFA World Cup,42',42,0,2
1643,Netherlands,2006 FIFA World Cup,48',48,0,2
1644,Argentina,2006 FIFA World Cup,57',57,0,2
1645,Argentina,2006 FIFA World Cup,90',90,0,2
1646,Italy,2006 FIFA World Cup,31',31,0,2
1647,Czech Republic,2006 FIFA World Cup,35',35,0,2
1648,Czech Republic,2006 FIFA World Cup,45'+2',45,2,1
1649,Ghana,2006 FIFA World Cup,5',5,0,2
1650,United States,2006 FIFA World Cup,7',7,0,2
1651,Ghana,2006 FIFA World Cup,32',32,0,2
1652,Ghana,2006 FIFA World Cup,81',81,0,2
1653,Ghana,2006 FIFA World Cup,90'+1',90,1,2
1654,Croatia,2006 FIFA World Cup,32',32,0,2
1655,Croatia,2006 FIFA World Cup,38',38,0,2
1656,Croatia,2006 FIFA World Cup,61',61,0,2
1657,Croatia,2006 FIFA World Cup,70',70,0,2
1658,Australia,2006 FIFA World Cup,81',81,0,2
1659,Croatia,2006 FIFA World Cup,85',85,0,1
1660,Australia,2006 FIFA World Cup,87',87,0,1
1661,Croatia,2006 FIFA World Cup,90'+3',90,3,1
1662,Japan,2006 FIFA World Cup,40',40,0,2
1663,Brazil,2006 FIFA World Cup,44',44,0,2
1664,Saudi Arabia,2006 FIFA World Cup,27',27,0,2
1665,Spain,2006 FIFA World Cup,30',30,0,2
1666,Spain,2006 FIFA World Cup,35',35,0,2
1667,Spain,2006 FIFA World Cup,75',75,0,2
1668,Saudi Arabia,2006 FIFA World Cup,77',77,0,2
1669,Tunisia,2006 FIFA World Cup,9',9,0,2
1670,Ukraine,2006 FIFA World Cup,18',18,0,2
1671,Tunisia,2006 FIFA World Cup,43',43,0,2
1672,Tunisia,2006 FIFA World Cup,45'+1',45,1,1
1673,Ukraine,2006 FIFA World Cup,47',47,0,2
1674,Ukraine,2006 FIFA World Cup,61',61,0,2
1675,Ukraine,2006 FIFA World Cup,65',65,0,2
1676,Tunisia,2006 FIFA World Cup,90',90,0,2
1677,South Korea,2006 FIFA World Cup,23',23,0,2
1678,South Korea,2006 FIFA World Cup,37',37,0,2
1679,Switzerland,2006 FIFA World Cup,43',43,0,2
