,minute_regulation,match_id,player_id,family_name,given_name,Event
193,50,M-1982-01,P-07525,Millecamps,Luc,2
194,55,M-1982-01,P-01875,Bertoni,Daniel,2
195,2,M-1982-02,P-02366,Marini,Giampiero,2
196,12,M-1982-02,P-06421,Boniek,Zbigniew,2
197,47,M-1982-02,P-01452,Scirea,Gaetano,2
198,80,M-1982-04,P-02865,N'Kono,Thomas,2
199,32,M-1982-05,P-00347,Fazekas,László,2
200,74,M-1982-05,P-04962,Nyilasi,Tibor,2
201,57,M-1982-07,P-05306,Hrubesch,Horst,2
202,83,M-1982-07,P-03586,Madjer,Rabah,2
203,34,M-1982-08,P-01433,Butcher,Terry,2
204,12,M-1982-10,P-08489,Degeorgi,Josef,2
205,29,M-1982-10,P-06291,Garrido,Lizardo,2
206,66,M-1982-10,P-06449,Hattenberger,Roland,2
207,62,M-1982-12,P-08340,Whiteside,Norman,2
208,52,M-1982-13,P-07826,Tardelli,Marco,2
209,76,M-1982-13,P-00127,Duarte,Jaime,2
210,34,M-1982-16,P-06870,Pałasz,Andrzej,2
211,40,M-1982-16,P-01413,Aoudou,Ibrahim,2
212,80,M-1982-16,P-09582,Milla,Roger,2
213,17,M-1982-17,P-09264,Osorto,Francisco,2
214,74,M-1982-17,P-02118,Fagoaga,Ramón,2
215,11,M-1982-19,P-02377,Dubó,Rodolfo,2
216,29,M-1982-19,P-09048,Gamboa,Miguel Ángel,2
217,40,M-1982-20,P-00214,Chaloupka,Pavel,2
218,35,M-1982-21,P-07270,Stojković,Nenad,2
219,78,M-1982-21,P-03093,Šljivo,Edhem,2
220,80,M-1982-21,P-06260,Zamora,Jesús María,2
221,87,M-1982-21,P-03055,Gordillo,Rafael,2
222,67,M-1982-22,P-02768,Mansouri,Faouzi,2
223,30,M-1982-23,P-03511,Al-Anberi,Abdulaziz,2
224,68,M-1982-23,P-06010,Amoros,Manuel,2
225,85,M-1982-23,P-01932,Kameel,Fathi,2
226,31,M-1982-25,P-00798,Velásquez,José,2
227,65,M-1982-26,P-03817,Pfaff,Jean-Marie,2
228,79,M-1982-26,P-04184,Meeuws,Walter,2
229,5,M-1982-27,P-09842,Souness,Graeme,2
230,36,M-1982-28,P-04057,Antognoni,Giancarlo,2
231,36,M-1982-28,P-01469,N'Djeya,René,2
232,20,M-1982-29,P-09264,Osorto,Francisco,2
233,26,M-1982-29,P-02858,Ramírez Zapata,Luis,2
234,31,M-1982-29,P-04651,Olguín,Jorge,2
235,44,M-1982-29,P-01744,Gallego,Américo,2
236,45,M-1982-29,P-03250,Recinos,Carlos,2
237,88,M-1982-31,P-01788,Letelier,Juan Carlos,2
238,47,M-1982-32,P-06010,Amoros,Manuel,2
239,75,M-1982-32,P-06277,Panenka,Antonín,2
240,87,M-1982-32,P-03377,Vízek,Ladislav,3
241,81,M-1982-33,P-08720,Krmpotić,Zlatko,2
242,85,M-1982-33,P-03201,Maradiaga,Ramón,2
243,89,M-1982-33,P-00596,Yearwood,Gilberto,3
244,32,M-1982-34,P-03935,Hintermaier,Reinhold,2
245,74,M-1982-34,P-04693,Schachner,Walter,2
246,43,M-1982-35,P-02982,Mariner,Paul,2
247,44,M-1982-35,P-00169,Saad,Naeem,2
248,20,M-1982-36,P-01307,Juanito,not applicable,2
249,41,M-1982-36,P-03858,Hamilton,Billy,2
250,42,M-1982-36,P-02965,McIlroy,Sammy,2
251,60,M-1982-36,P-03449,Donaghy,Mal,3
252,60,M-1982-37,P-05076,Obermayer,Erich,2
253,48,M-1982-38,P-05856,Smolarek,Włodzimierz,2
254,15,M-1982-39,P-00907,Rossi,Paolo,2
255,32,M-1982-39,P-01718,Kempes,Mario,2
256,35,M-1982-39,P-05008,Maradona,Diego,2
257,39,M-1982-39,P-02797,Ardiles,Osvaldo,2
258,43,M-1982-39,P-03664,Gentile,Claudio,2
259,84,M-1982-39,P-01744,Gallego,Américo,3
260,68,M-1982-40,P-07440,Stielike,Uli,2
261,86,M-1982-41,P-08474,Pichler,Anton,2
262,77,M-1982-42,P-02807,Bezsonov,Volodymyr,2
263,33,M-1982-43,P-03896,Passarella,Daniel,2
264,77,M-1982-43,P-02394,Peres,Waldir,2
265,85,M-1982-43,P-05008,Maradona,Diego,3
266,85,M-1982-43,P-07110,Falcão,not applicable,2
267,9,M-1982-44,P-01877,Alexanko,José Ramón,2
268,10,M-1982-44,P-03966,Fischer,Klaus,2
269,83,M-1982-44,P-05615,Camacho,José Antonio,2
270,84,M-1982-44,P-07420,Briegel,Hans-Peter,2
271,84,M-1982-44,P-01136,Sánchez,Tente,2
272,57,M-1982-45,P-01014,Tigana,Jean,2
273,59,M-1982-45,P-03858,Hamilton,Billy,2
274,38,M-1982-46,P-01589,Chivadze,Aleksandr,2
275,65,M-1982-46,P-01138,Buncol,Andrzej,2
276,87,M-1982-46,P-02737,Borovsky,Sergei,2
277,88,M-1982-46,P-06421,Boniek,Zbigniew,2
278,90,M-1982-46,P-05532,Baltacha,Sergei,2
279,13,M-1982-47,P-03664,Gentile,Claudio,2
280,78,M-1982-47,P-02137,Oriali,Gabriele,2
281,15,M-1982-48,P-06162,Wilkins,Ray,2
282,43,M-1982-49,P-09319,Majewski,Stefan,2
283,51,M-1982-49,P-09931,Żmuda,Władysław,2
284,57,M-1982-49,P-05856,Smolarek,Włodzimierz,2
285,57,M-1982-49,P-07960,Collovati,Fulvio,2
286,35,M-1982-50,P-02905,Giresse,Alain,2
287,40,M-1982-50,P-09731,Genghini,Bernard,2
288,46,M-1982-50,P-04929,Förster,Bernd,2
289,62,M-1982-51,P-01138,Buncol,Andrzej,2
290,71,M-1982-51,P-05105,Wójcicki,Roman,2
291,79,M-1982-51,P-08659,Soler,Gérard,2
292,31,M-1982-52,P-09887,Conti,Bruno,2
293,61,M-1982-52,P-03289,Dremmler,Wolfgang,2
294,73,M-1982-52,P-02137,Oriali,Gabriele,2
